OBJECTID_1,TRACTCE,GEOID,city,AnalysisID,OBJECTID,Residential_count,ResidentialAffected_count,pct_residence_affected,2018_Total_Population,2018_EstimatedAffectedPopulation,2018_Average_Household_Size,2018_Households,2018_EstimatedAffectedHouseholds,2018_Families,2018_EstimatedAffectedHouseholds,2018_Average_Family_Size,2018_Owner_Occupied_Housing_Units,2018_EstimatedAffectedOwnerOccupiedHousingUnits,2018_Renter_Occupied_Housing_Units,2018_EstimatedAffectedRenterOccupiedHousingUnits,F2018_Vacant_Housing_Units,2018_EstimatedAffectedVacantHousingUnits,2018_Median_Household_Income,2018_Median_Home_Value,2018_Diversity_Index,2018_25_Population_High_School_Graduate,2018_EstimatedPopulationHighSchoolGraduate,2018_25_Population_Associates_Degree,2018_EstimatedPopulationAssociatesDegree,2018_25__Population___Bachelors_Degree,2018_EstimatedPopulationBachelorsDegree,2018_25__Population___Graduate_Professional,2018_EstimatedPopulationGraduateProfessionalDegree,2018_Civilian_Unemployed__Unemployment_Rate___,AnalysisID_str,x_long,y_lat,HoverText
1,011806,080590118061,Denver,1,1,75,2,2.666666746,375,10,2.6,143,4,62,2,3.94,39.5,1,57.8,2,2.7,0,28761,245455,72.8,30.5,1,10,0,15.4,0,5.4,0,3.3,1,-105.0556183,39.70407867,Estimated Population in Flood Hazard Area: 10
2,011701,080590117014,Lakewood,2,12,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-105.0863342,39.70225906,Estimated Population in Flood Hazard Area: 0
3,011806,080590118062,Lakewood,3,15,38,,0,1618,0,1.77,914,0,326,0,2.66,31.1,0,64.3,0,4.6,0,65218,407718,67.8,21.1,0,5,0,28.9,0,14.3,0,2.7,3,-105.0735855,39.70618439,Estimated Population in Flood Hazard Area: 0
4,004504,080310045043,Denver,4,16,83,,0,438,0,3.91,112,0,88,0,4.43,50.4,0,42.1,0,7.4,0,41405,150000,80.1,36,0,2,0,5.9,0,0,0,6,4,-105.049675,39.70911789,Estimated Population in Flood Hazard Area: 0
5,011806,080590118061,Denver,5,17,68,3,4.411764622,883,39,1.66,529,23,231,10,2.49,39.8,2,58.1,3,2,0,28554,246250,72.9,30.4,1,10,0,15.3,1,5.6,0,3.3,5,-105.0556259,39.70945358,Estimated Population in Flood Hazard Area: 39
6,000902,080310009023,Denver,6,18,82,47,57.31707382,286,164,3.11,92,53,69,40,3.57,54.5,31,38.4,22,7.1,4,44836,162500,79.4,18.6,11,1,1,19.8,11,0,0,6.2,6,-105.0421829,39.7175827,Estimated Population in Flood Hazard Area: 164
7,000902,080310009024,Denver,7,19,90,1,1.111111164,515,6,3.6,128,1,89,1,4.22,28.7,0,64.7,1,5.9,0,26852,272000,81.4,25.9,0,6,0,11.4,0,1.6,0,7.3,7,-105.0579834,39.71982574,Estimated Population in Flood Hazard Area: 6
8,011601,080590116012,Lakewood,8,20,50,1,2,176,4,2.84,62,1,39,1,3.44,72.1,1,27.9,1,0,0,70024,340000,66.1,23.8,0,8,0,26.2,1,9.2,0,2,8,-105.0709381,39.71938324,Estimated Population in Flood Hazard Area: 4
9,000903,080310009031,Denver,9,21,130,26,20,498,100,3.15,158,32,112,22,3.72,42.9,9,43.4,9,13.2,3,35786,194792,80.3,28.3,6,2,1,12.7,3,3.5,1,6,9,-105.0289154,39.72266006,Estimated Population in Flood Hazard Area: 100
10,000903,080310009031,Denver,10,2,29,6,20.6896553,396,82,3.9,99,20,84,17,4.24,3.9,1,92.2,19,3.9,1,13500,275000,89.2,18.1,4,3,1,5.1,1,1.4,0,13.3,10,-105.0214386,39.72924423,Estimated Population in Flood Hazard Area: 82
11,011701,080590117014,Lakewood,11,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-105.0855103,39.70076752,Estimated Population in Flood Hazard Area: 0
12,011806,080590118061,Lakewood,12,4,71,,0,175,0,2.5,70,0,44,0,3.16,69.7,0,23.7,0,7.9,0,57638,234259,70.6,33.3,0,10,0,13,0,4.9,0,2.4,12,-105.0665207,39.69981384,Estimated Population in Flood Hazard Area: 0
13,011701,080590117014,Lakewood,13,5,8,,0,338,0,1.89,179,0,63,0,2.71,11.7,0,79.2,0,9.1,0,51354,125000,67.5,19.4,0,5,0,38.4,0,7.6,0,2,13,-105.0793915,39.70125961,Estimated Population in Flood Hazard Area: 0
14,011806,080590118061,Denver,14,6,102,1,0.980392158,377,4,3.56,106,1,80,1,4.06,63.2,1,28.9,0,7,0,52934,169444,80.1,13.1,0,8,0,3.6,0,2.7,0,2.7,14,-105.0496674,39.70560074,Estimated Population in Flood Hazard Area: 4
15,011806,080590118061,Lakewood,15,7,331,12,3.625377655,835,30,2.51,333,12,211,8,3.16,70.9,3,23.9,1,5.1,0,58255,233929,70.7,33.3,1,10,0,12.8,0,5.2,0,3,15,-105.0670929,39.70869827,Estimated Population in Flood Hazard Area: 30
16,000902,080310009023,Denver,16,8,242,57,23.55371857,808,190,3.56,227,53,175,41,3.98,68.2,16,26,6,6.2,1,45826,174353,72.7,29.2,7,5,1,10.9,3,6.9,2,4.2,16,-105.0482864,39.71928406,Estimated Population in Flood Hazard Area: 190
17,000903,080310009031,Denver,17,9,208,50,24.03846169,874,210,3.88,225,54,166,40,4.44,52.3,13,41.8,10,5.9,1,34534,174000,71.5,20,5,6,1,4.9,1,0,0,8.7,17,-105.0360947,39.71974945,Estimated Population in Flood Hazard Area: 210
18,000800,080310008001,Denver,18,10,11,,0,39,0,3.55,11,0,8,0,4,54.5,0,45.5,0,0,0,41495,150000,73.2,31.8,0,4,0,13.6,0,0,0,0,18,-105.0257721,39.73022842,Estimated Population in Flood Hazard Area: 0
19,011806,080590118062,Lakewood,19,11,131,6,4.580152512,285,13,2.08,137,6,83,4,2.7,77.8,4,17.4,1,4.9,0,57943,233871,69.3,40.5,2,7,0,8.1,0,2.9,0,0,19,-105.0744858,39.69845581,Estimated Population in Flood Hazard Area: 13
20,004504,080310045042,Denver,20,13,91,2,2.197802305,262,6,2.79,94,2,58,1,3.53,55.1,1,40.8,1,4.1,0,29905,178906,79,29,1,2,0,10.9,0,2.2,0,4.7,20,-105.0466614,39.71398926,Estimated Population in Flood Hazard Area: 6
21,000903,080310009031,Denver,21,14,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,-105.0273972,39.72688675,Estimated Population in Flood Hazard Area: 0
